character_name,show_name,image_link
Chhota Bheem,Chhota Bheem,https://w0.peakpx.com/wallpaper/338/405/HD-wallpaper-chhota-bheem-chutki-chota-cartoon-toon-jaggu-dholakpur-kalia.jpg
Raju,Chhota Bheem,https://images-na.ssl-images-amazon.com/images/S/pv-target-images/84e8ff53c2a3f32484447bbe789b35394c9bbdf025a64e6cce1ab727baca39eb._RI_TTW_.jpg
Chutki,Chhota Bheem,https://2.bp.blogspot.com/-Zc4dp3gTQVA/U5wadm2pc0I/AAAAAAAAD9U/XppEtzJ5vcY/s1600/chota-bheem-chutki-images-HD-wallpapers-widescreen-2014-Latest.jpg
Jaggu,Chhota Bheem,https://quizizz.com/media/resource/gs/quizizz-media/quizzes/b9ce1f85-83ee-4853-bc11-e55d9b84a327?w=90&h=90
Kalia,Chhota Bheem,https://static.wikia.nocookie.net/chhotabheem/images/d/d8/Kalia.png/revision/latest?cb=20210307113909
Dholu,Chhota Bheem,https://static.wikia.nocookie.net/chhotabheem/images/8/80/Dholu_Bholu.png/revision/latest?cb=20220323130513
Bholu,Chhota Bheem,https://static.wikia.nocookie.net/chhotabheem/images/8/80/Dholu_Bholu.png/revision/latest?cb=20220323130513
Indumati,Chhota Bheem,https://static.wikia.nocookie.net/chhotabheem/images/f/f7/Rajkumari_Indumati.jpeg/revision/latest?cb=20220314173624
Tun Tun Mausi,Chhota Bheem,https://static.wikia.nocookie.net/chhotabheem/images/e/e5/Maxresdefault.jpg/revision/latest?cb=20210623110239
Damyaan,Chhota Bheem,https://www.chhotabheem.com/image/catalog/wallpaper/Damyaan_rises_to_power.jpg
Raja Indravarma,Chhota Bheem,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBTBZjyUkei3yKyAxaTG8UhySWWbj0FmKgIOAdhlRRO3MzdmrLuoY3H1_tRf_mowKGkHQ&usqp=CAU
Queen Mayavati,Chhota Bheem,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBTBZjyUkei3yKyAxaTG8UhySWWbj0FmKgIOAdhlRRO3MzdmrLuoY3H1_tRf_mowKGkHQ&usqp=CAU
Patlu,Motu Patlu,https://m.media-amazon.com/images/M/MV5BMWExMjhhNTctNTc2My00YWIyLTlmZDQtNDkzYzNhOWNhZGFkXkEyXkFqcGdeQXVyODAzNzAwOTU@._V1_.jpg
Dr. Jhatka,Motu Patlu,https://static.wikia.nocookie.net/motu-patlu/images/6/6b/Dr_jhataka_ctohs.png/revision/latest/thumbnail/width/360/height/360?cb=20150802054858
Ghasitaram,Motu Patlu,https://static.wikia.nocookie.net/motu-patlu/images/0/0c/Ghasitaram.png/revision/latest/thumbnail/width/360/height/360?cb=20160822153129
