type,name,url,poster_url,description,rating,genre,datePublished,keywords,duration,actors,director,creator
TVSeries,Ted Lasso,https://www.imdb.com/title/tt10986410/,https://m.media-amazon.com/images/M/MV5BMTdmZjBjZjQtY2JiNS00Y2ZlLTg2NzgtMjUzMGY2OTVmOWJiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_.jpg,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",8.8,Comedy | Drama | Sport,2020-08-14,"soccer,american abroad,american in england,football manager,assistant coach",,Jason Sudeikis | Brett Goldstein | Hannah Waddingham,,Brendan Hunt | Joe Kelly | Bill Lawrence
TVSeries,Star Trek: Picard,https://www.imdb.com/title/tt8806524/,https://m.media-amazon.com/images/M/MV5BYzRjZWQ5YzAtY2Q1Ny00MmY0LWFmMmItNjEzNGEwNDdjYWExXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_.jpg,,7.4,Action | Adventure | Drama,2020-01-23,"star trek,24th century,reference to star trek first contact,cbs all access,shared universe",,Patrick Stewart | Michelle Hurd | Jeri Ryan,,Kirsten Beyer | Michael Chabon | Akiva Goldsman
TVSeries,Perry Mason,https://www.imdb.com/title/tt2077823/,https://m.media-amazon.com/images/M/MV5BZDQxNTcyNTgtZTdlMC00NmRiLTllNDYtZmQyODkwNzU2OTMzXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_.jpg,"In booming 1932 Los Angeles, a down-and-out defense attorney takes on the case of a lifetime.",7.6,Crime | Drama | History,2020-06-21,"character name as series title,perry mason character,two word series title,law firm,film noir style",,Matthew Rhys | Juliet Rylance | Chris Chalk,,Ron Fitzgerald | Rolin Jones
TVSeries,9-1-1: Lone Star,https://www.imdb.com/title/tt10323338/,https://m.media-amazon.com/images/M/MV5BZjNhNTI0ZTItNTJlMC00ZDI3LWEzNmYtYWFlODUwYjYxNGU3XkEyXkFqcGdeQXVyMjYwNDA2MDE@._V1_.jpg,"A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.",7.1,Action | Drama | Thriller,2020-01-19,"fire rescue,fire,male protagonist,fireman,austin texas",,Rob Lowe | Ronen Rubinstein | Sierra Aylina McClain,,Brad Falchuk | Tim Minear | Ryan Murphy
TVSeries,Dave,https://www.imdb.com/title/tt8531222/,https://m.media-amazon.com/images/M/MV5BY2Y4ZjNhZDctZjA3YS00YjVjLWIzNjktMjdlOTZkYzMyNjYwXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg,A neurotic mid-20s suburbanite's convinced he's destined to be one of the greatest rappers of all time. Now he's got to prove it to everyone else.,8.3,Comedy | Music,2020-03-04,"rapper,los angeles california,manager,lyrics,beat composer",,Dave Burd | Andrew Santino | Gata,,Dave Burd | Jeff Schaffer
TVSeries,Outer Banks,https://www.imdb.com/title/tt10293938/,https://m.media-amazon.com/images/M/MV5BM2Q3MmQzODctZDJhMi00NGMyLWI4M2YtZDkwODdiOGZkMGRjXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance.",7.5,Action | Crime | Drama,2020-04-15,"treasure,treasure map,treasure hunt,coming of age,young",,Chase Stokes | Madelyn Cline | Madison Bailey,,Shannon Burke | Jonas Pate | Josh Pate
TVSeries,Love Is Blind,https://www.imdb.com/title/tt11704040/,https://m.media-amazon.com/images/M/MV5BNmRiMjVjYzgtZDk4Ny00MGRlLWJjYWUtNTk4ZmUxYWY1N2Y1XkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_.jpg,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",6.2,Reality-TV | Romance,2020-02-13,"dating,love,friend,single,dating and romance reality tv",,Nick Lachey | Vanessa Lachey | Bartise Bowden,,
TVSeries,Your Honor,https://www.imdb.com/title/tt7440726/,https://m.media-amazon.com/images/M/MV5BNTIxMmJlNzAtZTQ3NC00MjIyLTk4YTUtNmNlNzNjMzYzZWFiXkEyXkFqcGdeQXVyMTUyMTU1MDg1._V1_.jpg,A judge confronts his convictions when his son is involved in a hit-and-run that embroils an organized-crime family.,7.6,Crime | Drama | Thriller,2020-12-06,"judge,based on israeli tv series,organized crime,epic drama,legal drama",,Bryan Cranston | Hope Davis | Michael Stuhlbarg,,Peter Moffat
TVSeries,Bridgerton,https://www.imdb.com/title/tt8740790/,https://m.media-amazon.com/images/M/MV5BNjk4MDdhODctMmFhYi00ZTNhLThlN2UtN2NhZGY0OGFlMWEwXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,"Wealth, lust, and betrayal set against the backdrop of Regency-era England, seen through the eyes of the powerful Bridgerton family.",7.4,Drama | History | Romance,2020-12-25,"england,alternate history,steamy romance,based on novel,blackwashing",,Nicola Coughlan | Luke Thompson | Jonathan Bailey,,Chris Van Dusen
TVSeries,Power Book II: Ghost,https://www.imdb.com/title/tt10732104/,https://m.media-amazon.com/images/M/MV5BZGIwMTU4YmMtY2ViZi00MjAzLTlmYTQtZTIyOWI0ZDA3YmE4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_.jpg,The journey of some of Power's most controversial characters.,7.3,Crime | Drama,2020-09-06,"journey,organized crime,timeframe 2020s,timeframe 21st century,gangster crime",,Michael Rainey Jr. | Shane Johnson | Gianni Paolo,,Courtney A. Kemp
